team_name,map,winrate,pick_pct,ban_pct,maps_played
mibr,Anubis,0.667,0.7140000000000001,0.0,6
mibr,Mirage,0.33299999999999996,0.0,0.125,3
mibr,Inferno,0.33299999999999996,0.0,0.071,3
mibr,Nuke,0.5,0.0,0.231,2
mibr,Train,0.5,0.5,0.125,2
mibr,Ancient,0.0,0.0,0.111,2
mouz,Nuke,0.636,0.769,0.0,11
mouz,Dust2,0.4,0.0,0.2,10
mouz,Inferno,0.28600000000000003,0.1,0.23800000000000002,7
mouz,Mirage,0.833,0.375,0.13,6
mouz,Ancient,1.0,0.125,0.053,4
mouz,Train,0.33299999999999996,0.0,0.05,3
natus-vincere,Inferno,0.667,0.16699999999999998,0.071,9
natus-vincere,Mirage,0.625,0.636,0.077,8
natus-vincere,Dust2,0.4,0.28600000000000003,0.2,5
natus-vincere,Anubis,0.25,0.2,0.429,4
natus-vincere,Ancient,0.5,0.0,0.28600000000000003,2
natus-vincere,Train,1.0,0.14300000000000002,0.33299999999999996,1
ninjas-in-pyjamas,Train,0.7140000000000001,0.6,0.0,7
ninjas-in-pyjamas,Dust2,0.4,0.0,0.235,5
ninjas-in-pyjamas,Inferno,0.6,0.0,0.154,5
ninjas-in-pyjamas,Ancient,0.6,0.222,0.0,5
ninjas-in-pyjamas,Nuke,0.5,0.667,0.0,4
ninjas-in-pyjamas,Anubis,0.667,0.0,0.21100000000000002,3
oddik,Anubis,0.6,1.0,0.0,5
oddik,Dust2,0.0,0.16699999999999998,0.111,3
oddik,Nuke,0.667,0.0,0.0,3
oddik,Inferno,0.0,0.0,0.364,2
oddik,Train,0.0,0.0,0.14300000000000002,1
oddik,Ancient,1.0,0.0,0.0,1
pain,Inferno,0.28600000000000003,0.0,0.0,7
pain,Nuke,0.33299999999999996,0.667,0.071,6
pain,Anubis,0.0,0.5,0.14300000000000002,4
pain,Dust2,0.0,0.1,0.062,3
pain,Train,0.0,0.0,0.368,3
pain,Mirage,0.5,0.14300000000000002,0.091,2
saw,Nuke,0.75,0.8,0.1,4
saw,Ancient,0.0,0.0,0.33299999999999996,4
saw,Train,0.0,0.4,0.0,3
saw,Anubis,0.667,0.0,0.083,3
saw,Dust2,0.0,0.0,0.5,2
saw,Inferno,0.0,0.0,0.2,2
spirit,Dust2,0.875,0.583,0.0,8
spirit,Nuke,0.5710000000000001,0.273,0.111,7
spirit,Anubis,0.833,0.28600000000000003,0.188,6
spirit,Mirage,0.6,0.111,0.125,5
spirit,Ancient,0.4,0.091,0.048,5
spirit,Train,1.0,0.0,0.28600000000000003,1
the-mongolz,Mirage,0.667,0.583,0.0,9
the-mongolz,Ancient,0.556,0.667,0.0,9
the-mongolz,Inferno,0.75,0.11800000000000001,0.034,8
the-mongolz,Anubis,0.375,0.077,0.12,8
the-mongolz,Dust2,0.4,0.0,0.24,5
the-mongolz,Nuke,0.4,0.0,0.308,5
tyloo,Inferno,0.889,0.8,0.071,9
tyloo,Ancient,0.2,0.1,0.368,5
tyloo,Train,0.5,0.14300000000000002,0.062,4
tyloo,Mirage,0.667,0.0,0.154,3
tyloo,Nuke,0.33299999999999996,0.0,0.263,3
tyloo,Anubis,1.0,0.111,0.053,3
virtuspro,Dust2,0.6,0.643,0.0,10
virtuspro,Ancient,0.3,0.308,0.091,10
virtuspro,Mirage,0.429,0.083,0.1,7
virtuspro,Inferno,0.6,0.0,0.111,5
virtuspro,Anubis,0.25,0.182,0.14300000000000002,4
virtuspro,Train,0.5,0.0,0.318,2
vitality,Mirage,0.6,0.0,0.111,10
vitality,Inferno,0.9,0.5379999999999999,0.0,10
vitality,Nuke,0.8,0.33299999999999996,0.158,10
vitality,Dust2,0.7140000000000001,0.294,0.182,7
vitality,Train,1.0,0.125,0.053,4
vitality,Anubis,1.0,0.0,0.14300000000000002,4
wildcard,Anubis,0.5,0.14300000000000002,0.083,6
wildcard,Dust2,0.0,0.14300000000000002,0.273,5
wildcard,Inferno,0.5,0.8,0.0,4
wildcard,Nuke,1.0,0.28600000000000003,0.0,2
wildcard,Mirage,0.0,0.0,0.875,1
